,M13
735,1.035e-025
736,8.424e-006
737,3.131e-005
738,1.888e-005
739,1.287e-005
740,1.125e-025
741,1.145e-025
742,1.164e-025
743,1.189e-025
744,1.219e-025
745,1.244e-025
746,1.286e-025
747,2.674e-005
748,5.701e-005
749,1.385e-025
750,1.421e-025
751,1.456e-025
752,1.487e-025
753,1.512e-025
754,1.533e-025
755,1.550e-025
756,7.208e-005
757,1.600e-025
758,1.631e-025
759,3.966e-006
760,2.409e-006
761,1.728e-025
762,1.767e-025
763,1.797e-025
764,1.833e-025
765,2.998e-005
766,8.834e-006
767,7.459e-006
768,8.584e-006
769,1.622e-005
770,5.858e-006
771,9.709e-006
772,5.934e-006
773,4.094e-005
774,2.312e-025
775,2.372e-025
776,2.430e-025
777,2.487e-025
778,2.573e-025
779,3.510e-005
780,4.207e-005
