,M12
735,2.646e-004
736,2.284e-004
737,1.736e-004
738,1.430e-004
739,8.851e-005
740,1.191e-004
741,7.778e-005
742,2.063e-004
743,1.692e-004
744,1.311e-004
745,1.199e-004
746,4.624e-005
747,3.353e-005
748,9.740e-005
749,5.900e-005
750,3.753e-005
751,3.547e-005
752,1.487e-025
753,1.512e-025
754,5.506e-006
755,2.769e-006
756,2.169e-005
757,8.614e-006
758,2.736e-005
759,1.662e-025
760,1.692e-025
761,9.296e-006
762,1.913e-006
763,7.721e-006
764,1.833e-025
765,1.876e-025
766,1.916e-025
767,1.958e-025
768,2.004e-025
769,2.048e-025
770,8.270e-006
771,3.057e-006
772,2.196e-025
773,2.253e-025
774,2.312e-025
775,2.372e-025
776,2.430e-025
777,2.487e-025
778,2.573e-025
779,2.638e-025
780,2.683e-025
