,M3
735,6.481e-005
736,2.001e-005
737,1.209e-005
738,3.071e-005
739,4.772e-005
740,5.988e-005
741,8.474e-005
742,3.420e-005
743,4.582e-005
744,1.501e-005
745,7.197e-005
746,2.077e-005
747,1.263e-005
748,1.895e-006
749,1.811e-006
750,1.421e-025
751,1.456e-025
752,1.146e-006
753,2.300e-005
754,2.516e-005
755,1.395e-006
756,4.269e-006
757,1.600e-025
758,1.631e-025
759,2.029e-005
760,1.233e-005
761,1.062e-004
762,3.948e-006
763,1.594e-005
764,1.833e-025
765,1.876e-025
766,3.614e-005
767,7.315e-006
768,3.284e-005
769,2.048e-025
770,2.094e-025
771,3.860e-005
772,2.755e-005
773,2.253e-025
774,3.139e-006
775,3.209e-006
776,2.430e-025
777,2.487e-025
778,2.573e-025
779,2.638e-025
780,2.683e-025
