,M4
735,1.035e-025
736,1.051e-025
737,1.067e-025
738,1.089e-025
739,1.107e-025
740,1.125e-025
741,1.145e-025
742,1.164e-025
743,1.189e-025
744,1.219e-025
745,1.244e-025
746,2.595e-006
747,1.717e-005
748,1.056e-005
749,1.009e-005
750,3.007e-005
751,3.388e-006
752,1.487e-025
753,1.512e-025
754,1.533e-025
755,1.550e-025
756,1.575e-025
757,5.868e-006
758,2.934e-005
759,1.419e-005
760,1.692e-025
761,2.609e-005
762,1.767e-025
763,1.797e-025
764,1.833e-025
765,1.876e-025
766,1.916e-025
767,2.093e-006
768,1.130e-005
769,7.451e-006
770,6.422e-006
771,2.138e-025
772,1.472e-005
773,2.253e-025
774,2.312e-025
775,2.372e-025
776,2.430e-025
777,1.667e-005
778,2.573e-025
779,2.638e-025
780,2.683e-025
