,M2
735,1.035e-025
736,1.051e-025
737,1.067e-025
738,1.089e-025
739,1.107e-025
740,1.125e-025
741,1.145e-025
742,1.164e-025
743,1.189e-025
744,1.219e-025
745,1.244e-025
746,1.286e-025
747,1.313e-025
748,1.352e-025
749,1.385e-025
750,1.421e-025
751,1.456e-025
752,1.487e-025
753,1.512e-025
754,1.533e-025
755,1.550e-025
756,1.575e-025
757,1.600e-025
758,1.631e-025
759,1.662e-025
760,1.692e-025
761,1.728e-025
762,1.767e-025
763,1.797e-025
764,1.833e-025
765,1.876e-025
766,1.916e-025
767,1.958e-025
768,2.004e-025
769,2.048e-025
770,2.094e-025
771,2.138e-025
772,2.196e-025
773,2.253e-025
774,2.312e-025
775,2.372e-025
776,2.430e-025
777,2.487e-025
778,2.573e-025
779,2.638e-025
780,2.683e-025
